Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.4-10.0.0.2-55948-23-6,10.0.0.4,55948,10.0.0.2,23,6,23/05/2022 10:57:45 AM,8005576,101,69,32.0,496891.0,16.0,0.0,0.316831683168317,2.2402262969142512,21720.0,0.0,7201.318840579708,5849.953595825891,62072.11073881505,21.235199066250825,47370.2721893491,439634.3573359835,4670183.0,-1.0,8005382.0,80053.82000000002,570390.0054143778,4670183.0,0.0,8005539.0,117728.51470588236,690290.8470731521,4672106.0,1.0,0,0,0,0,3544,2216,12.616206504066666,8.618992562184157,0.0,21720.0,2905.9824561403507,5122.794844353761,26243027.017337475,2,2,0,60,169,0,0,0,0.0,2923.076470588235,0.3168316831683168,7201.31884057971,0,0,0,496791,64,65289919,50,16,34,248445,42340,85,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-55946-23-6,10.0.0.4,55946,10.0.0.2,23,6,23/05/2022 10:57:45 AM,8007731,358,432,208.0,9673140.0,16.0,0.0,0.5810055865921793,2.997268054860257,63712.0,0.0,22391.527777777785,18240.37201365264,1208001.1179196704,98.65466260042952,10149.215462610891,111879.11918226386,1681692.0,-1.0,8007559.0,22430.13725490197,165619.50783594602,1681692.0,0.0,8007718.0,18579.392111368903,150960.7066729828,1681774.0,1.0,0,0,0,0,11884,13832,44.70679646956173,53.94786613086779,0.0,63712.0,12229.26422250316,17491.298831921154,305945534.8275664,2,2,0,420,789,0,0,0,1.0,12244.744303797468,0.5810055865921788,22391.527777777777,0,0,0,3224405,145,3535471,119,69,144,3224380,42340,85,13,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-55952-23-6,10.0.0.4,55952,10.0.0.2,23,6,23/05/2022 10:57:45 AM,8006278,6,5,16.0,116.0,16.0,0.0,2.666666666666667,6.531972647421808,100.0,0.0,23.2,43.48792935976603,16.487061778269503,1.373921814855792,800627.7999999999,2528986.766520221,7998249.0,8.0,8006181.0,1601236.1999999995,3576039.404502095,7998249.0,24.0,8006269.0,2001567.25,4000340.20528691,8002077.0,11.0,0,0,0,0,200,168,0.7494118990122501,0.6245099158435418,0.0,100.0,11.0,28.699065553365383,823.6363636363636,2,2,0,3,10,0,0,0,0.0,12.0,2.6666666666666665,23.2,0,0,0,0,0,0,6,16,5,116,42340,85,1,32,3829.0,0.0,3829.0,3829.0,7998249.0,0.0,7998249.0,7998249.0,NeedManualLabel
10.0.0.4-10.0.0.2-55950-23-6,10.0.0.4,55950,10.0.0.2,23,6,23/05/2022 10:57:45 AM,8014852,6,5,16.0,116.0,16.0,0.0,2.666666666666667,6.531972647421808,100.0,0.0,23.2,43.48792935976603,16.46942451339089,1.3724520427825742,801485.2000000001,2530014.606930113,8002030.0,9.0,8013008.0,1602601.6,3577391.3762978604,8002030.0,48.0,8014843.0,2003710.75,3999711.363913682,8003276.0,41.0,0,0,0,0,200,168,0.7486102051541315,0.6238418376284428,0.0,100.0,11.0,28.699065553365383,823.6363636363636,2,2,0,3,10,0,0,0,0.0,12.0,2.6666666666666665,23.2,0,0,0,0,0,0,6,16,5,116,42340,85,1,32,1245.0,0.0,1245.0,1245.0,8002030.0,0.0,8002030.0,8002030.0,NeedManualLabel
10.0.0.4-10.0.0.2-55944-23-6,10.0.0.4,55944,10.0.0.2,23,6,23/05/2022 10:57:45 AM,8030536,1919,3640,1360.0,113872759.0,16.0,0.0,0.7087024491922886,3.2928149312684125,65160.0,0.0,31283.724999999995,25256.242018322533,14180139.283355432,692.2327476024017,1444.8607412738363,15530.572921109862,446203.0,-7.0,8029194.0,4186.232533889473,26225.896823687937,446203.0,1.0,8030525.0,2206.794449024454,19180.869411687072,446347.0,2.0,0,0,0,0,61500,116488,238.9628786920325,453.2698689103692,0.0,65160.0,20480.956654676247,25275.422499415028,638846982.5239354,2,2,0,3710,5558,0,0,0,1.0,20484.640942615577,0.7087024491922876,31283.725,0,0,0,113874119,3720,14742982,0,0,0,0,42340,85,85,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-47992-53-6,10.0.0.4,47992,10.0.0.2,53,6,23/05/2022 10:57:45 AM,8017111,345,488,176.0,13418870.0,16.0,0.0,0.5101449275362321,2.815145134819472,65160.0,0.0,27497.684426229516,29043.191581417348,1673800.6995287954,103.90276497356716,9635.950721153851,111585.43715396342,2454533.0,-4.0,8017027.0,23305.311046511622,172762.4244350646,2454533.0,3.0,8017102.0,16462.221765913753,145547.48825998418,2454568.0,2.0,0,0,0,0,11368,15624,43.032957882209686,60.86980709135747,0.0,65160.0,16089.98321342928,26017.436402491727,676906996.9577016,2,2,0,489,832,0,0,0,1.0,16109.298919567827,0.5101449275362319,27497.68442622951,0,0,0,4472971,163,4945489,115,58,162,4472956,42340,85,11,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-47994-53-6,10.0.0.4,47994,10.0.0.2,53,6,23/05/2022 10:57:45 AM,8015921,43,33,32.0,86068.0,16.0,0.0,0.7441860465116282,3.4093221170631414,8688.0,0.0,2608.121212121212,2143.9646650186387,10741.12382095582,9.481131363445323,106878.94666666666,682004.1891618171,5279377.0,0.0,8015832.0,190853.1428571429,907240.339505485,5279377.0,1.0,8015912.0,250497.25,1037071.3920411308,5285512.0,2.0,0,0,0,0,1760,1064,5.36432432405459,4.116807039390732,0.0,8688.0,1118.1818181818178,1903.2228119088777,3622257.071770336,2,2,0,23,75,0,0,0,0.0,1132.8947368421052,0.7441860465116279,2608.121212121212,0,0,0,85968,28,14504471,21,16,16,43034,42340,85,2,32,6127.0,0.0,6127.0,6127.0,5279377.0,0.0,5279377.0,5279377.0,NeedManualLabel
10.0.0.4-10.0.0.2-47990-53-6,10.0.0.4,47990,10.0.0.2,53,6,23/05/2022 10:57:45 AM,8019749,2298,3785,1632.0,120977675.0,16.0,0.0,0.7101827676240219,3.295950849097736,65160.0,0.0,31962.39762219281,31951.13243444081,15085173.737981075,758.5025416630871,1318.603913186446,12193.835743410862,321447.0,-22.0,8019049.0,3491.09664780148,19654.703040028373,321447.0,4.0,8019739.0,2119.3813424947243,15429.40566922473,321630.0,3.0,0,0,0,0,73604,121128,286.54263369090484,471.95990797218224,0.0,65160.0,19884.83021038786,29584.425271417396,875238218.6400801,2,2,0,3879,6082,0,0,0,1.0,19888.099128719383,0.7101827676240209,31962.397622192868,0,0,0,120979307,3882,15352920,0,0,0,0,42340,85,102,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-47998-53-6,10.0.0.4,47998,10.0.0.2,53,6,23/05/2022 10:57:45 AM,8012339,6,5,16.0,116.0,16.0,0.0,2.666666666666667,6.531972647421808,100.0,0.0,23.2,43.48792935976603,16.474590004242206,1.3728825003535172,801233.8999999999,2531810.7718666256,8006893.0,9.0,8011859.0,1602371.8000000005,3580236.4910079194,8006893.0,19.0,8012330.0,2003082.5,4003430.103744413,8008227.0,12.0,0,0,0,0,200,168,0.7488450001928275,0.6240375001606896,0.0,100.0,11.0,28.699065553365383,823.6363636363636,2,2,0,3,10,0,0,0,0.0,12.0,2.6666666666666665,23.2,0,0,0,0,0,0,6,16,5,116,42340,85,1,32,1323.0,0.0,1323.0,1323.0,8006893.0,0.0,8006893.0,8006893.0,NeedManualLabel
10.0.0.4-10.0.0.2-47996-53-6,10.0.0.4,47996,10.0.0.2,53,6,23/05/2022 10:57:45 AM,8014077,6,5,16.0,116.0,16.0,0.0,2.666666666666667,6.531972647421808,100.0,0.0,23.2,43.48792935976603,16.47101718638341,1.3725847655319507,801407.7000000001,2532132.714376693,8007983.0,10.0,8013953.0,1602790.6,3580611.68208182,8007983.0,30.0,8014067.0,2003516.75,4003804.778244512,8009223.0,13.0,0,0,0,0,212,168,0.7486825993810641,0.6239021661508867,0.0,100.0,11.0,28.699065553365383,823.6363636363636,2,2,0,3,10,0,0,0,0.0,12.0,2.6666666666666665,23.2,0,0,0,0,0,0,6,16,5,116,42340,85,1,32,1238.0,0.0,1238.0,1238.0,8007983.0,0.0,8007983.0,8007983.0,NeedManualLabel
